Beds,Bath,Sqft,Price,Address,Province,Region
3.0,2.0,1211.0,399900,5850 Prospect Road ,NS,Atlantic region
3.0,1.0,1235.0,129900,15 ROGERS Road ,NS,Atlantic region
5.0,3.0,4100.0,889000,7594 221 Highway ,NS,Atlantic region
3.0,2.0,1704.0,210000,67 Milton Street ,NS,Atlantic region
3.0,2.0,1881.0,274900,949 Sandy Point Road ,NS,Atlantic region
3.0,1.0,1248.0,179900,714 Lower Cove Road ,NS,Atlantic region
3.0,2.0,2452.0,529900,19 Bobolink St ,NS,Atlantic region
3.0,2.0,1608.0,299000,1843 Highway 1 Church Point ,NS,Atlantic region
4.0,2.0,2016.0,439900,502 Willow Street ,NS,Atlantic region
2.0,1.0,1070.0,950000,284 Millers Road ,NS,Atlantic region
4.0,3.0,2350.0,500000,561 Portland Hills Drive ,NS,Atlantic region
3.0,2.0,1920.0,219000,3 Park Place ,NS,Atlantic region
2.0,3.0,1715.0,319000,127 Pinky Creek Road ,NS,Atlantic region
1.0,1.0,1247.0,235000,160 Henry Hensey Drive ,NS,Atlantic region
4.0,1.0,1546.0,209000,8376 Hwy 1 ,NS,Atlantic region
4.0,1.0,1280.0,89000,"367 Marc Comeau Road, St Benoni ",NS,Atlantic region
3.0,3.0,3129.0,980000,86 Freddies Lane ,NS,Atlantic region
4.0,6.0,6790.0,3795000,137 Gannet Lane ,NS,Atlantic region
1.0,2.0,1148.0,585000,3735 West Bay Highway ,NS,Atlantic region
3.0,2.0,2730.0,989000,3907 Shore Road ,NS,Atlantic region
3.0,2.0,905.0,124900,16 Oak Street ,NS,Atlantic region
4.0,3.0,2100.0,450000,432 Riverdale Road ,NS,Atlantic region
4.0,3.0,2100.0,375000,432 Riverdale Road ,NS,Atlantic region
3.0,3.0,2953.0,995900,50 Josey Road ,NS,Atlantic region
4.0,2.0,1906.0,529000,1143 Camperdown Road ,NS,Atlantic region
3.0,2.0,1608.0,299000,1843 Highway 1 ,NS,Atlantic region
2.0,2.0,1851.0,299888,51 Romkey Drive ,NS,Atlantic region
2.0,2.0,2162.0,219000,465 PEREAU Road ,NS,Atlantic region
7.0,7.0,5927.0,880000,70 Gil Sutherland Road ,NS,Atlantic region
2.0,1.0,1000.0,59900,1803 Sonora Road ,NS,Atlantic region
4.0,2.0,2700.0,395000,696 Point Aconi Road ,NS,Atlantic region
4.0,2.0,2782.0,199900,11693 Highway 6 ,NS,Atlantic region
4.0,3.0,5043.0,449000,5032 Highway 3 ,NS,Atlantic region
4.0,3.0,2100.0,898000,393 Corkums Island Road ,NS,Atlantic region
2.0,1.0,1699.0,130000,586 Ellerhouse ,NS,Atlantic region
3.0,3.0,3230.0,550000,161 Second Avenue ,NS,Atlantic region
3.0,3.0,2547.0,434000,217 Highway 9461,NS,Atlantic region
4.0,2.0,1546.0,209000,8376 Highway 1 ,NS,Atlantic region
4.0,2.0,2356.0,269300,107 Abercrombie Road ,NS,Atlantic region
5.0,2.0,1737.0,399900,1491 Black Brook Road ,NS,Atlantic region
3.0,2.0,1420.0,149000,3623 HIGHWAY 217 ,NS,Atlantic region
3.0,2.0,1348.0,409000,349 Clinton Road ,NS,Atlantic region
3.0,2.0,1456.0,195000,834 HIGHWAY 335 ,NS,Atlantic region
3.0,3.0,2136.0,199900,919 Calabash ,NS,Atlantic region
5.0,2.0,1372.0,210000,960-964 Highway 8 ,NS,Atlantic region
4.0,2.0,2240.0,395500,288 Old Kettle Road ,NS,Atlantic region
4.0,2.0,2152.0,249000,9375 Pepperell Street ,NS,Atlantic region
2.0,2.0,1133.0,250000,670 Elliott Road ,NS,Atlantic region
7.0,6.0,3800.0,599000,12 Parade Street ,NS,Atlantic region
4.0,1.0,1280.0,110000,367 Marc Comeau Road ,NS,Atlantic region
3.0,1.0,1026.0,239000,152 Lighthouse Road ,NS,Atlantic region
1.0,1.0,689.0,225000,74 Battist Road ,NS,Atlantic region
2.0,2.0,1652.0,249000,7498 Highway 4 ,NS,Atlantic region
2.0,2.0,1910.0,174900,94 Duke Street ,NS,Atlantic region
3.0,1.0,1315.0,53000,2643 Main Street ,NS,Atlantic region
3.0,2.0,1760.0,859900,59 West Old Post Road ,NS,Atlantic region
3.0,3.0,1907.0,553000,29 Mount Marina Road ,NS,Atlantic region
3.0,1.0,2880.0,395000,1300 Millsville Road ,NS,Atlantic region
4.0,4.0,2408.0,450000,111 School Avenue ,NS,Atlantic region
4.0,3.0,3676.0,895000,5019 Granville Road ,NS,Atlantic region
6.0,3.0,2940.0,495000,15 LOCUST Avenue ,NS,Atlantic region
3.0,1.0,1287.0,49900,811 Marshdale Road ,NS,Atlantic region
2.0,1.0,1400.0,139000,10 Queen Street ,NS,Atlantic region
3.0,1.0,1890.0,199000,3823 Highway 307 ,NS,Atlantic region
4.0,1.0,1728.0,98500,5194 Highway 3 ,NS,Atlantic region
5.0,3.0,3186.0,299000,3086 HWY 334 ,NS,Atlantic region
3.0,2.0,1929.0,279900,625 East River Road ,NS,Atlantic region
3.0,2.0,1160.0,169000,101 Highway 8490,NS,Atlantic region
5.0,3.0,4100.0,889000,221 Highway 7594,NS,Atlantic region
3.0,1.0,1064.0,240000,675 Marsh Road ,NS,Atlantic region
3.0,1.0,790.0,129900,468 Old Church Road ,NS,Atlantic region
6.0,5.0,4157.0,1200000,96 King Street ,NS,Atlantic region
3.0,4.0,6100.0,995000,1621 Main Shore Road ,NS,Atlantic region
3.0,2.0,1185.0,330000,12 Villagedale Road ,NS,Atlantic region
3.0,1.0,1628.0,189000,977 PARKER MOUNTAIN Road ,NS,Atlantic region
4.0,3.0,3400.0,999900,2905 Ostrea Lake Road ,NS,Atlantic region
3.0,1.0,725.0,139000,142 Victoria ,NS,Atlantic region
4.0,3.0,2403.0,349900,5855 Highway 2 ,NS,Atlantic region
3.0,1.0,1052.0,249900,922 Mud Creek Road ,NS,Atlantic region
4.0,2.0,1658.0,169000,251 Highway 217 ,NS,Atlantic region
3.0,1.0,1000.0,269900,179 Gaspereau Avenue ,NS,Atlantic region
3.0,2.0,1272.0,425000,332 Portland Street ,NS,Atlantic region
1.0,1.0,1776.0,209800,275 Main Street ,NS,Atlantic region
7.0,3.0,3700.0,349000,320 Fort Point Road ,NS,Atlantic region
4.0,2.0,960.0,180000,9404 Cabot Trail ,NS,Atlantic region
3.0,1.0,1053.0,59000,204 West Avenue ,NS,Atlantic region
3.0,1.0,1100.0,115000,1603 Granville Road ,NS,Atlantic region
2.0,2.0,1296.0,299900,40 MacMillan Road ,NS,Atlantic region
4.0,3.0,2700.0,350000,234 HIGHWAY 1 ,NS,Atlantic region
4.0,2.0,2720.0,449000,5966 Highway 3 ,NS,Atlantic region
2.0,1.0,792.0,79900,4 Snow White Drive ,NS,Atlantic region
3.0,1.0,975.0,79000,75 Highway 8 ,NS,Atlantic region
1.0,1.0,1276.0,83000,88 Fraser Avenue ,NS,Atlantic region
3.0,3.0,2547.0,434000,9461 217 Highway ,NS,Atlantic region
2.0,1.0,840.0,187000,20 Shamrock Drive ,NS,Atlantic region
3.0,2.0,2000.0,320000,6656 Highway 3 ,NS,Atlantic region
5.0,1.0,1718.0,249900,3330 Prospect Road ,NS,Atlantic region
3.0,1.0,1121.0,112000,2105 Highway 330 ,NS,Atlantic region
2.0,1.0,400.0,79000,36 & 42 Willie C. Drive ,NS,Atlantic region
2.0,2.0,952.0,349900,63 Lobster Cove Lane ,NS,Atlantic region
1.0,2.0,1000.0,339000,491 Anderson Drive ,NS,Atlantic region
3.0,1.0,823.0,69000,56 St. George Street ,NS,Atlantic region
3.0,1.0,1772.0,189900,17 Morris Street ,NS,Atlantic region
3.0,3.0,2219.0,1475000,277 Paddys Head Road ,NS,Atlantic region
4.0,1.0,2000.0,199900,343 Island View Drive ,NS,Atlantic region
3.0,4.0,3800.0,800000,755 Cheticamp Island Road ,NS,Atlantic region
7.0,13.0,14955.0,2950000,1358 Shore Drive ,NS,Atlantic region
3.0,1.0,1540.0,349000,944 Blue Rocks Road ,NS,Atlantic region
3.0,2.0,1146.0,218800,2608 Melbourne Road ,NS,Atlantic region
5.0,1.0,1796.0,80000,277 Highway 217 ,NS,Atlantic region
3.0,1.0,808.0,249000,1833 Eastern Shore Road ,NS,Atlantic region
3.0,1.0,2412.0,349000,62 Smith Road ,NS,Atlantic region
3.0,2.0,1908.0,149000,3501 Hwy 3 ,NS,Atlantic region
3.0,1.0,1263.0,82500,139 Payzant Street ,NS,Atlantic region
2.0,2.0,923.0,299000,11 Locust St ,PE,Atlantic region
4.0,2.0,2560.0,619000,3182 West River Road ,PE,Atlantic region
3.0,2.0,1248.0,389000,3389 Route 17 ,PE,Atlantic region
4.0,2.0,2008.0,389000,25 Croker Street ,PE,Atlantic region
6.0,2.0,3290.0,399900,1057 McInnis Point Road ,PE,Atlantic region
4.0,2.0,3064.0,349900,31 Granville Street Street ,PE,Atlantic region
3.0,3.0,2454.0,399000,5 Church Street ,PE,Atlantic region
3.0,2.0,1647.0,385000,11216 SHORE Road ,PE,Atlantic region
5.0,2.0,2636.0,449900,32 Anderson Road ,PE,Atlantic region
2.0,1.0,835.0,69900,5975 Route 19 ,PE,Atlantic region
4.0,2.0,1684.0,529000,1156 CHURCH Road ,PE,Atlantic region
3.0,1.0,1284.0,299000,5445 RTE 2 ,PE,Atlantic region
2.0,1.0,900.0,329000,55 Garwalt Lane ,PE,Atlantic region
3.0,2.0,1786.0,175000,480 Abney Road ,PE,Atlantic region
3.0,1.0,1155.0,247900,4131 RTE 17 ,PE,Atlantic region
4.0,2.0,2320.0,399900,100 Scott Street ,PE,Atlantic region
5.0,1.0,1515.0,95000,107 Kerr St ,NB,Atlantic region
4.0,3.0,3790.0,975000,47 Reeder ,NB,Atlantic region
3.0,1.0,1664.0,169000,302 Route 735 ,NB,Atlantic region
4.0,2.0,4400.0,975000,42-46 Burrell Rd. ,NB,Atlantic region
2.0,1.0,872.0,199000,18 Kerrs Lake ,NB,Atlantic region
2.0,1.0,700.0,69500,322 Grub RD ,NB,Atlantic region
2.0,1.0,542.0,139900,76 Third AVE ,NB,Atlantic region
3.0,1.0,1188.0,69900,236 Robichaud ,NB,Atlantic region
3.0,1.0,1145.0,139900,3906 Route 134 ,NB,Atlantic region
4.0,3.0,2976.0,299900,743 Rosedale Road ,NB,Atlantic region
3.0,2.0,1482.0,53400,3229 Route 315 ,NB,Atlantic region
4.0,3.0,2525.0,328000,314 Intervale RD ,NB,Atlantic region
2.0,1.0,686.0,49900,936 Royal RD ,NB,Atlantic region
3.0,1.0,1170.0,89000,7742 Rue St-Paul ,NB,Atlantic region
7.0,4.0,1600.0,359000,25 Lyden Drive ,NB,Atlantic region
3.0,1.0,1800.0,199000,7 Demerchant Road ,NB,Atlantic region
4.0,2.0,1872.0,249900,118 Steeves Settlement RD ,NB,Atlantic region
10.0,5.0,5708.0,100000,389 Principale Street ,NB,Atlantic region
3.0,1.0,1119.0,130000,278 Main ST ,NB,Atlantic region
3.0,3.0,2363.0,549900,21 Harvard CRT ,NB,Atlantic region
3.0,1.0,1590.0,179000,2295 Acadie ,NB,Atlantic region
3.0,1.0,3500.0,200000,61 Rue des Champs ,NB,Atlantic region
4.0,3.0,1626.0,309000,10 Coady Street ,NB,Atlantic region
4.0,1.0,1150.0,85000,106 Boul. St-Pierre Est ,NB,Atlantic region
4.0,5.0,5000.0,975000,210 Bedell Avenue ,NB,Atlantic region
3.0,2.0,2172.0,160000,493 2e Sault ,NB,Atlantic region
1.0,1.0,902.0,125000,16410 Route 105 ,NB,Atlantic region
3.0,1.0,1316.0,237500,17 Ch de la Cote ,NB,Atlantic region
3.0,2.0,1702.0,166000,270 Bourgoin Road ,NB,Atlantic region
3.0,1.0,1440.0,320000,246 Bayview Drive ,NB,Atlantic region
2.0,2.0,1584.0,189000,608 Enterprise Road ,NB,Atlantic region
1.0,1.0,1056.0,164900,7256 Desherbiers RD ,NB,Atlantic region
2.0,3.0,1900.0,299900,69-71 Gordon ST ,NB,Atlantic region
4.0,2.0,1500.0,129900,111 WHITE HEAD Road ,NB,Atlantic region
4.0,2.0,1574.0,130000,203 Tobique Road ,NB,Atlantic region
3.0,1.0,1731.0,399900,141 Stead LANE ,NB,Atlantic region
6.0,4.0,3600.0,189000,922 Canada Road ,NB,Atlantic region
2.0,1.0,964.0,349900,1536 Route 114 ,NB,Atlantic region
3.0,1.0,1152.0,251910,69 Abbey's LANE ,NB,Atlantic region
2.0,1.0,872.0,199000,18 Kerrs Lake Road ,NB,Atlantic region
3.0,1.0,1024.0,68900,8 Canvas Back Way ,NB,Atlantic region
3.0,1.0,1120.0,384900,98 Coburg ,NB,Atlantic region
3.0,2.0,2625.0,499900,150 Blanchard Trail ,NB,Atlantic region
4.0,2.0,1981.0,199000,186 Main New Denmark Road ,NB,Atlantic region
8.0,4.0,3200.0,155000,21 Pleasant ST ,NB,Atlantic region
4.0,2.0,2241.0,279000,312 Allain Street ,NB,Atlantic region
2.0,2.0,918.0,474900,29 Islandview BLVD ,NB,Atlantic region
3.0,1.0,1168.0,89900,382 Route 636 ,NB,Atlantic region
3.0,3.0,2653.0,449000,20 Airfield LANE ,NB,Atlantic region
1.0,1.0,1150.0,299000,800 Gorge RD ,NB,Atlantic region
3.0,1.0,621.0,115900,23 Alphonse ,NB,Atlantic region
6.0,3.0,2476.0,199900,52 Rue du Portage ,NB,Atlantic region
8.0,4.0,3171.0,199900,555 Route 530 ,NB,Atlantic region
3.0,2.0,1412.0,130000,13586 Route 105 Route ,NB,Atlantic region
4.0,3.0,2000.0,249000,4 Hill Street ,NB,Atlantic region
2.0,1.0,992.0,124900,2 Southpine AVE ,NB,Atlantic region
2.0,1.0,288.0,79900,60 Marine Drive ,NB,Atlantic region
3.0,1.0,925.0,39500,12 Ch Tilley Road ,NB,Atlantic region
11.0,5.0,4400.0,300000,53-55 Weldon ,NB,Atlantic region
3.0,2.0,2400.0,999900,799 Back Greenfield Road ,NB,Atlantic region
3.0,2.0,906.0,75000,1 Baker Road ,NB,Atlantic region
1.0,1.0,240.0,109000,95 Taint Lane ,NB,Atlantic region
3.0,1.0,1176.0,75000,958 Route 495 ,NB,Atlantic region
2.0,2.0,1989.0,215000,59 Guerrette Street ,NB,Atlantic region
3.0,1.0,1125.0,129900,59 Schooner Cove Road ,NB,Atlantic region
2.0,1.0,1056.0,68000,217 Main Road ,NL,Atlantic region
4.0,5.0,2698.0,790000,233-235 Conception Bay Highway ,NL,Atlantic region
2.0,1.0,1184.0,149900,8A Hill Avenue ,NL,Atlantic region
3.0,3.0,3036.0,259900,7 Martin's Pond Road ,NL,Atlantic region
2.0,1.0,550.0,62000,59 Back Rd ,NL,Atlantic region
3.0,2.0,2472.0,229900,8 Hill Avenue ,NL,Atlantic region
3.0,1.0,1154.0,79900,5 Crockers Ave ,NL,Atlantic region
4.0,1.0,1040.0,124999,184A Water Street ,NL,Atlantic region
3.0,1.0,748.0,79900,0 Paradise Valley Road ,NL,Atlantic region
2.0,1.0,900.0,75000,10 Druken Crescent ,NL,Atlantic region
3.0,1.0,1136.0,99900,Western Bay Line Rd ,NL,Atlantic region
2.0,1.0,2016.0,179900,111 Riverdale Crescent ,NL,Atlantic region
4.0,2.0,2464.0,189900,29 Tom Pauls Hill ,NL,Atlantic region
2.0,1.0,1200.0,59900,12 Old Brigus Road ,NL,Atlantic region
2.0,2.0,1185.0,259900,23 Jack Pine Place ,NL,Atlantic region
2.0,1.0,816.0,54900,474 Main Road ,NL,Atlantic region
3.0,2.0,1071.0,49500,11 Citadel Road ,NL,Atlantic region
3.0,1.0,1600.0,269900,8 WOODPATH Road ,NL,Atlantic region
4.0,1.0,1330.0,59900,3 Bulter's Lane ,NL,Atlantic region
2.0,1.0,500.0,70000,B168 Main Road ,NL,Atlantic region
2.0,1.0,950.0,69900,16 Ship Cove Crescent ,NL,Atlantic region
3.0,1.0,1270.0,94500,25A Suez Street ,NL,Atlantic region
4.0,3.0,5300.0,580475,14 Dock Point ,NL,Atlantic region
5.0,2.0,2048.0,170000,14 Blackmore Road Unit A,NL,Atlantic region
2.0,1.0,600.0,79900,197 Merrymeeting Road ,NL,Atlantic region
3.0,1.0,1179.0,119900,46 Franklyn Avenue ,NL,Atlantic region
2.0,1.0,800.0,69900,58 Main Street ,NL,Atlantic region
3.0,1.0,1232.0,79900,35 - 43 Park Avenue ,NL,Atlantic region
3.0,1.0,899.0,29900,13 Rink Road ,NL,Atlantic region
2.0,1.0,572.0,39900,0 Trinity South Highway ,NL,Atlantic region
4.0,1.0,1656.0,79000,8 MAYNE Lane ,NL,Atlantic region
2.0,2.0,2106.0,89000,127 J.W. Pickersgill Boulevard ,NL,Atlantic region
4.0,2.0,2410.0,195000,27 Lowerview Road ,NL,Atlantic region
3.0,1.0,900.0,53000,52 Gray Avenue ,NL,Atlantic region
4.0,1.0,2226.0,87500,214-220 Blow-Me-Down Drive ,NL,Atlantic region
4.0,1.0,1672.0,210000,65 Jordan Place ,NL,Atlantic region
2.0,1.0,800.0,40000,48 Fort Louis Road ,NL,Atlantic region
3.0,2.0,1134.0,54900,34 Blackburn Road ,NL,Atlantic region
5.0,1.0,1444.0,80000,1 Moores Road ,NL,Atlantic region
6.0,2.0,1614.0,58000,9 Hartigan Street ,NL,Atlantic region
3.0,2.0,2640.0,150000,3 Woods Street ,NL,Atlantic region
3.0,1.0,780.0,179000,56A Boom Siding Road ,NL,Atlantic region
4.0,1.0,1170.0,229900,105 Military Road ,NL,Atlantic region
2.0,1.0,1136.0,139000,1 Chomedy Drive ,NL,Atlantic region
4.0,2.0,3310.0,189900,5 Riverview Avenue ,NL,Atlantic region
4.0,2.0,3047.0,499000,15 Stoneyhouse Street ,NL,Atlantic region
3.0,1.0,1090.0,150000,48 Cold Brook Road ,NL,Atlantic region
3.0,2.0,1800.0,629000,Site 7 RR1 Main Street ,NL,Atlantic region
2.0,2.0,1437.0,69900,28 Phillips Lane ,NL,Atlantic region
3.0,2.0,1426.0,199900,22 Museum Road ,NL,Atlantic region
3.0,1.0,904.0,45000,26 Malcolm Boulevard ,NL,Atlantic region
3.0,1.0,1150.0,97500,18 Jordan Place ,NL,Atlantic region
3.0,2.0,1276.0,169900,31B Main Street ,NL,Atlantic region
4.0,2.0,1762.0,79900,39 Fault Drive ,NL,Atlantic region
3.0,1.0,1500.0,89000,180 Main Street S ,NL,Atlantic region
6.0,2.0,1780.0,150000,41 Harris Drive ,NL,Atlantic region
3.0,1.0,2152.0,69999,0 Main Street ,NL,Atlantic region
3.0,1.0,1136.0,99900,0 Western Bay Line Road ,NL,Atlantic region
5.0,3.0,2320.0,80000,10 Churchill Avenue ,NL,Atlantic region
3.0,1.0,1040.0,109900,182 MAIN Street ,NL,Atlantic region
3.0,1.0,1152.0,95000,5 Harry's Lane ,NL,Atlantic region
4.0,2.0,2306.0,110000,29 Boncloddy Street ,NL,Atlantic region
3.0,1.0,1107.0,149000,317 West Side Road ,NL,Atlantic region
5.0,2.0,2715.0,199900,45 MAIN Street ,NL,Atlantic region
5.0,4.0,3712.0,599000,80 CLEARWATER Drive ,NL,Atlantic region
3.0,2.0,1236.0,55000,30 College Street ,NL,Atlantic region
3.0,2.0,1728.0,369000,299-305 Conception Bay Highway ,NL,Atlantic region
2.0,2.0,1456.0,169000,218 O'Connell Drive ,NL,Atlantic region
3.0,1.0,1130.0,129000,3 Harbour Drive ,NL,Atlantic region
3.0,1.0,1000.0,99900,34 Salt Pond Drive ,NL,Atlantic region
4.0,1.0,896.0,95000,52 New Settlement Hill ,NL,Atlantic region
5.0,2.0,1672.0,99500,8-10 Lakeshore Road ,NL,Atlantic region
3.0,2.0,2830.0,169000,16 Gilbert Avenue ,NL,Atlantic region
5.0,2.0,1800.0,124900,563-565 Main Road ,NL,Atlantic region
2.0,1.0,1125.0,69000,284 BAYSIDE Drive ,NL,Atlantic region
3.0,3.0,2033.0,118500,5-9 Point Bully Place ,NL,Atlantic region
3.0,1.0,945.0,69900,0 Lance Cove Road ,NL,Atlantic region
3.0,2.0,1360.0,139000,14 Water Street ,NL,Atlantic region
4.0,2.0,3000.0,169900,39 Citizens Drive ,NL,Atlantic region
2.0,2.0,950.0,149000,65 Bowater Drive ,NL,Atlantic region
3.0,2.0,1200.0,209900,102 Quay Road ,NL,Atlantic region
3.0,1.0,1186.0,99000,14 George Street ,NL,Atlantic region
1.0,1.0,1152.0,144900,140-144 MIDDLE THREE ISLAND Pond ,NL,Atlantic region
3.0,1.0,1600.0,119900,0 Garland Hill Road ,NL,Atlantic region
3.0,4.0,1300.0,90000,14 BIRCH Street ,NL,Atlantic region
3.0,3.0,2760.0,140000,27 PREMIER Avenue ,NL,Atlantic region
5.0,3.0,2600.0,209900,861 Topsail Road ,NL,Atlantic region
3.0,2.0,1500.0,139900,82 Carters Hill ,NL,Atlantic region
2.0,1.0,1840.0,141000,14 Overback Road ,NL,Atlantic region
3.0,3.0,4538.0,1490000,49 Barrows Road ,NL,Atlantic region
3.0,2.0,1500.0,150000,7 Post Office Road ,NL,Atlantic region
4.0,2.0,2290.0,119500,67 High Street ,NL,Atlantic region
6.0,3.0,2824.0,275000,7 Bennett Terrace ,NL,Atlantic region
2.0,2.0,1854.0,329000,13 Middle Bight Road ,NL,Atlantic region
4.0,2.0,1440.0,85000,59-61 Bayview Drive ,NL,Atlantic region
2.0,1.0,840.0,74900,9 Gray Avenue ,NL,Atlantic region
4.0,5.0,5081.0,989900,13 Ivys Way ,NL,Atlantic region
4.0,5.0,3256.0,525000,170 Water Street ,NL,Atlantic region
3.0,2.0,2704.0,99000,21 Park Drive ,NL,Atlantic region
3.0,1.0,798.0,99900,55 Southern Shore Highway ,NL,Atlantic region
3.0,1.0,2200.0,74900,28 Spoon Cove Road ,NL,Atlantic region
2.0,1.0,990.0,69900,731 Main St. ,NL,Atlantic region
3.0,2.0,1325.0,448000,248 Rue Corot ,QC,Central Canada
5.0,2.0,1250.0,999900,68 Ch. de Pine Lodge ,QC,Central Canada
3.0,2.0,19540.0,425000,1598-1606 Ch. du Lac-Écho ,QC,Central Canada
3.0,1.0,104819.0,199000,1040 Rg Ste-Anne ,QC,Central Canada
4.0,1.0,1600.0,449900,20 Rue St-Exupéry ,QC,Central Canada
3.0,2.0,1618.0,649000,1700 Av. du Docteur-Penfield #24 ,QC,Central Canada
3.0,2.0,285297.0,1299000,139 Rue Jean-De Fonblanche ,QC,Central Canada
1.0,1.0,125098.0,460000,1590 Rue St-Jean-Baptiste ,QC,Central Canada
2.0,1.0,121309.0,115000,194 Rue Notre-Dame E. ,QC,Central Canada
2.0,2.0,7704.0,178000,6385 Mtée Ryan #303 ,QC,Central Canada
