Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
6.0,4.0,5877.0,2.72,Residential,1785000,873 Rivers Edge Drive ,BC,West Coast
4.0,,4181.0,7.89,Residential,1995000,2651 ALBERNI Hwy ,BC,West Coast
3.0,3.0,2880.0,5.01,Single,750000,6765 CRANBROOK HILL ROAD ,BC,West Coast
3.0,2.0,1200.0,0.33,Residential,249000,112 Nystrom Road ,BC,West Coast
,,,,Residential,1300000,7.25 Acres in Ok Fall ,BC,West Coast
,,,,Residential,289000,Lot 11 Stoddart Estates Drive ,BC,West Coast
2.0,1.0,9900.0,>320,Residential,625000,8985 Crescent Spur Road ,BC,West Coast
4.0,3.0,3030.0,9.25,Residential,1249900,4767 97A ,BC,West Coast
4.0,2.0,2480.0,>7.3,Residential,629000,3540 Kettle Valley Road E ,BC,West Coast
5.0,3.0,3600.0,17.2,Residential,989900,5280 Highway 6 ,BC,West Coast
2.0,,595.0,0.35,Other,349900,215 Link Lake Road ,BC,West Coast
5.0,6.0,5550.0,g>15,Residential,5365000,2470 Glenmore Road N ,BC,West Coast
2.0,2.0,1350.0,,Residential,329000,10-2095 BOUCHERIE ROAD ,BC,West Coast
4.0,2.0,1920.0,.133,Residential,549999,270 Cariboo Avenue ,BC,West Coast
5.0,3.0,3120.0,>306,Residential,1975000,4685 Hwy 3 ,BC,West Coast
,,2557.0,,Residential,1349000,2760 Yankee Flats rd. ,BC,West Coast
3.0,2.0,2496.0,1.75,Residential,446000,2405 Lloyd Road  ,BC,West Coast
3.0,3.0,5000.0,2.14,Residential,900000,5325 Riding Club Road ,BC,West Coast
4.0,4.0,5606.0,1.11,Single,1599000,"5189 Sunnybrae Canoe Pt Road, ",BC,West Coast
3.0,2.0,2150.0,,Single,2499000,9982 SAUNDERS STREET ,BC,West Coast
4.0,2.0,2480.0,>7.3,Single,629000,"3540 KETTLE VALLEY Road, ",BC,West Coast
3.0,1.0,1103.0,0.21,Residential,599900,2128 Boxwood Rd ,BC,West Coast
3.0,2.0,1930.0,2.92,Single,1249900,2298 Calais Rd ,BC,West Coast
7.0,3.0,86445684.0,23.8,Single,5900000,24375 80 AVENUE ,BC,West Coast
3.0,2.0,2277.0,1.49,Single,1590000,"7191 ISLAND WAY Road, ",BC,West Coast
4.0,2.0,1800.0,.094,Single,1199000,1776 LANGAN AVENUE ,BC,West Coast
2.0,2.0,1930.0,6.98,Single,1499000,2982 Smith Rd ,BC,West Coast
3.0,2.0,1530.0,0.95,Single,1125000,1559 PARK AVENUE ,BC,West Coast
2.0,1.0,669.0,.138,Single,94900,"701 97 Avenue, ",BC,West Coast
2.0,1.0,1774.0,6.26,Single,675000,8072/8080 CENTENNIAL DRIVE ,BC,West Coast
4.0,1.0,2442.0,2.39,Single,1950000,979 Thunder Rd ,BC,West Coast
2.0,1.0,850.0,.114,Single,799879,46259 FIRST AVENUE ,BC,West Coast
4.0,4.0,54928692.0,.454,Single,15250000,17147 24 AVENUE ,BC,West Coast
4.0,2.0,2191.0,0.27,Single,799000,"721 Swansea Point Road, ",BC,West Coast
2.0,3.0,2368.0,0.78,Residential,1395000,5003 Thompson Clarke Dr W ,BC,West Coast
4.0,3.0,2982.0,.705,Single,8900000,1297 184 STREET ,BC,West Coast
3.0,2.0,2352.0,0.29,Single,55000,912 C'STAINAC WAY ,BC,West Coast
4.0,4.0,2408.0,1.46,Single,999000,"5255 Schneider Place, ",BC,West Coast
5.0,2.0,1770.0,,Single,179000,"1324 102 Avenue, ",BC,West Coast
5.0,5.0,3106.0,2.02,Single,1750000,25890 FIELD ROAD ,BC,West Coast
3.0,2.0,1400.0,.228,Single,54900,5227 44 STREET ,BC,West Coast
4.0,3.0,2578.0,0.72,Single,2229000,670 Sunset Dr ,BC,West Coast
3.0,3.0,1710.0,.097,Single,1098888,15576 96B AVENUE ,BC,West Coast
,,,9.03,Single,125000,"775 WILLIS Road, ",BC,West Coast
7.0,4.0,5032.0,2.52,Single,1050000,"4621 Trepanier Road, ",BC,West Coast
4.0,2.0,1895.0,.273,Single,3600000,2750 MOUNTAIN HIGHWAY ,BC,West Coast
3.0,2.0,2563.0,.251,Single,1499000,5115 7B AVENUE ,BC,West Coast
5.0,2.0,2452.0,.253,Single,1599000,8655 GILLEY AVENUE ,BC,West Coast
2.0,1.0,850.0,.095,Single,1199999,966 MAPLE STREET ,BC,West Coast
5.0,4.0,,4.78,Single,1399999,606 UPPER PARKVIEW ROAD ,BC,West Coast
5.0,3.0,3600.0,17.2,Single,989900,"6 Highway, 5280",BC,West Coast
6.0,6.0,7535.0,.396,Single,13988000,1411 MINTO CRESCENT ,BC,West Coast
5.0,3.0,,17.2,Single,989900,5280 HIGHWAY 6 HIGHWAY ,BC,West Coast
4.0,3.0,3064.0,.184,Single,1150000,"324 Rexor Place, ",BC,West Coast
5.0,4.0,3485.0,.234,Single,1998800,1553 161 STREET ,BC,West Coast
4.0,3.0,2430.0,.243,Single,1499000,5638 9A AVENUE ,BC,West Coast
5.0,6.0,2986.0,1.11,Single,1450888,"6226 Okanagan Avenue, ",BC,West Coast
3.0,1.0,,.144,Single,349000,414 7TH AVENUE ,BC,West Coast
7.0,5.0,,.478,Single,1999900,8381 RICHARDSON CRESCENT ,BC,West Coast
3.0,2.0,1466.0,.277,Single,1000000,"2208 PRINCETON/S'LAND Road, ",BC,West Coast
5.0,4.0,4472.0,.154,Single,4999000,705 W 60TH AVENUE ,BC,West Coast
4.0,,5445.0,,Residential,13388000,3033-3055 Marine Drive ,BC,West Coast
3.0,1.0,2834.0,0.64,Single,345000,43242 BLAKE ROAD ,BC,West Coast
5.0,4.0,4596.0,1.73,Single,2399000,12238 269 STREET ,BC,West Coast
6.0,3.0,3960.0,1.37,Single,1500900,29912 SILVERDALE AVENUE ,BC,West Coast
4.0,2.0,2192.0,0.14,Single,649000,560 6th Ave ,BC,West Coast
3.0,1.0,1014.0,1.06,Single,224900,4032 HILLS FRONTAGE ROAD ,BC,West Coast
2.0,1.0,,.149,Single,435000,922 8TH AVENUE ,BC,West Coast
2.0,1.0,1093.0,9.92,Single,219000,6502 LITTLE FORT 24 HIGHWAY ,BC,West Coast
3.0,2.0,,0.25,Single,379900,2820 KOKANEE DRIVE ,BC,West Coast
5.0,2.0,2580.0,9.54,Single,8888000,17731 WESTMINSTER HIGHWAY ,BC,West Coast
1.0,1.0,1040.0,1.07,Single,425000,15005 MARSHALL LAKE RD ,BC,West Coast
,3.0,2756.0,.218,Single,699900,6249 MARINE AVE ,BC,West Coast
4.0,3.0,2557.0,6.64,Single,1349000,"2760 Yankee Flats Road, ",BC,West Coast
3.0,2.0,2640.0,.184,Single,1200000,1425 Helen Rd ,BC,West Coast
6.0,3.0,4650.0,0.51,Single,1399900,552 AYLMER ROAD ,BC,West Coast
5.0,4.0,2806.0,4.42,Single,1299900,"235 GREASEWOOD Avenue, ",BC,West Coast
4.0,6.0,4740.0,0.23,Residential,6999000,7441 TREETOP LANE ,BC,West Coast
4.0,3.0,3373.0,0.96,Single,2199000,23517 132 AVENUE ,BC,West Coast
3.0,1.0,1170.0,>0.5,Single,179000,14500 UPPER FRASER ROAD ,BC,West Coast
,,,2.28,Single,4300000,8469 KING GEORGE BOULEVARD ,BC,West Coast
4.0,2.0,2058.0,0.55,Single,1600000,13292 232 STREET ,BC,West Coast
2.0,2.0,1350.0,0.35,Single,2200000,49362 NEVILLE ROAD ,BC,West Coast
4.0,3.0,2700.0,1.13,Single,1500000,"9178 Clancy Frontage Road, ",BC,West Coast
4.0,2.0,,0.97,Single,349000,1737 13TH AVENUE ,BC,West Coast
4.0,3.0,5974.0,>7.4,Single,1699000,"2388 Lawrence Road, ",BC,West Coast
5.0,4.0,3098.0,.202,Single,2349000,402 GUILBY STREET ,BC,West Coast
6.0,5.0,5131.0,1.49,Single,2949000,6262 MULLIGAN DRIVE ,BC,West Coast
4.0,3.0,,ng>1,Single,649000,7747 BOUNDARY DRIVE ,BC,West Coast
1.0,2.0,2024.0,2.03,Single,149000,852 MACKENZIE HIGHWAY ,BC,West Coast
2.0,1.0,579.0,.322,Single,1199000,4945 224 STREET ,BC,West Coast
7.0,4.0,4004.0,,Single,998000,8 SENNOK CRESCENT ,BC,West Coast
3.0,1.0,1248.0,.188,Single,3100000,278 ALLISON STREET ,BC,West Coast
4.0,3.0,3874.0,>4.9,Single,3998600,7714 216 STREET ,BC,West Coast
9.0,7.0,6575.0,.487,Single,2280000,"2523 Lucinde Road, ",BC,West Coast
3.0,1.0,1001.0,,Single,219900,1353 FOORT ROAD ,BC,West Coast
4.0,3.0,2944.0,>320,Single,4500000,"602 Highway 3A, 3A",BC,West Coast
3.0,3.0,1716.0,.065,Single,1090000,"8192 97A Highway, LS-17",BC,West Coast
7.0,5.0,2810.0,.138,Single,1499000,6009 131 STREET ,BC,West Coast
3.0,2.0,11101.0,2.02,Single,2398000,774 Cliffe Rd ,BC,West Coast
5.0,3.0,1695.0,,Single,119000,"52 SUKUNKA Place, ",BC,West Coast
3.0,1.0,,ng>5,Single,749900,6364 YOUNGS ROAD ,BC,West Coast
1.0,1.0,845.0,.174,Single,899333,10445 140B STREET ,BC,West Coast
4.0,2.0,2168.0,1.98,Single,1050000,3491 SUNSHINE COAST HIGHWAY ,BC,West Coast
5.0,2.0,2535.0,11.4,Single,1349000,10585 CHEMAINUS Rd ,BC,West Coast
6.0,4.0,5650.0,1.17,Single,3998000,"2251 Boucherie Road, ",BC,West Coast
2.0,1.0,,88.5,Single,399900,DL 10026 NEEDLES NORTH RD ,BC,West Coast
4.0,4.0,4431.0,2.58,Single,1700000,"14075 MOBERLY Road, ",BC,West Coast
2.0,1.0,,0.79,Single,449900,16622 MARQUISE STREET ,BC,West Coast
1.0,2.0,1260.0,9.88,Single,325000,2886 SPOUT LAKE ROAD ,BC,West Coast
2.0,1.0,1090.0,>0.2,Single,180000,1152 MACKENZIE AVENUE ,BC,West Coast
3.0,2.0,2100.0,0.56,Single,389999,"538 TAYLOR Way, ",BC,West Coast
4.0,2.0,1600.0,.061,Single,1288000,7440 MAIN STREET ,BC,West Coast
5.0,8.0,4778.0,0.17,Single,3990000,1057 W 43RD AVENUE ,BC,West Coast
4.0,4.0,3281.0,.125,Single,3950000,3388 COLUMBIA STREET ,BC,West Coast
4.0,5.0,5897.0,0.47,Single,2175000,2650 THOMPSON DRIVE ,BC,West Coast
5.0,3.0,2945.0,6.65,Single,4199000,390 DILL ROAD ,BC,West Coast
4.0,2.0,2401.0,.516,Single,2388800,2078 PEARDONVILLE ROAD ,BC,West Coast
4.0,3.0,2500.0,.591,Single,1799900,12742 CARR STREET ,BC,West Coast
4.0,3.0,3456.0,8.56,Single,949000,"2134 Yankee Flats Road, ",BC,West Coast
5.0,4.0,2980.0,9.85,Single,6100000,4245 41B STREET ,BC,West Coast
3.0,2.0,2012.0,g>32,Single,2400000,"18255 HWY 3, 3",BC,West Coast
3.0,2.0,1829.0,1.56,Single,618300,"2920 HWY 3, 3",BC,West Coast
3.0,3.0,,.316,Single,749000,309 KOOTENAY STREET ,BC,West Coast
6.0,6.0,7064.0,.951,Single,5399000,"4211 WILLIAMS Avenue, ",BC,West Coast
3.0,1.0,1400.0,>1.7,Single,237000,3425 HENDRIX ROAD ,BC,West Coast
2.0,2.0,1152.0,.207,Single,189000,"907 121 Avenue, ",BC,West Coast
1.0,1.0,600.0,.024,Single,359000,"623 Swanson Place, 8",BC,West Coast
3.0,2.0,768.0,3.82,Single,1499900,11849 STATIM STREET ,BC,West Coast
2.0,2.0,,0.77,Single,699000,103 NYBERG ROAD ,BC,West Coast
4.0,3.0,3326.0,.463,Single,3900000,1332 133A STREET ,BC,West Coast
4.0,2.0,3484.0,3.29,Single,1599000,"2290 Skimikin Road, ",BC,West Coast
4.0,4.0,2574.0,>320,Single,4500000,"602 HWY 3A, 3A",BC,West Coast
2.0,1.0,704.0,.077,Single,199000,3916 ALFRED AVENUE ,BC,West Coast
4.0,4.0,7203.0,.571,Single,11888000,672 BEACHVIEW DRIVE ,BC,West Coast
2.0,1.0,612.0,,Single,1199999,962 MAPLE STREET ,BC,West Coast
3.0,2.0,1643.0,.068,Single,1349000,2758 FRANKLIN STREET ,BC,West Coast
6.0,4.0,3442.0,0.17,Single,3498000,960 LEYLAND STREET ,BC,West Coast
1.0,2.0,3840.0,0.08,Single,990000,444 CLEARWATER VALLEY ROAD ,BC,West Coast
1.0,1.0,1100.0,g>13,Single,149900,3194 LITTLE LAKE-QUESNEL RIVER ROAD ,BC,West Coast
3.0,6.0,5775.0,>500,Single,5995000,"5760 CHRISTIAN VALLEY Road, ",BC,West Coast
5.0,2.0,2216.0,0.68,Single,599900,1655 20th St ,BC,West Coast
2.0,1.0,672.0,,Single,88800,6911 SAVONA ACCESS ROAD 4,BC,West Coast
3.0,1.0,,0.24,Single,309900,733 KIMBERLEY AVENUE N ,BC,West Coast
2.0,2.0,1200.0,.152,Single,224900,1705 INGLEDEW STREET ,BC,West Coast
4.0,4.0,2762.0,ng>1,Single,3390000,7290 208 STREET ,BC,West Coast
5.0,4.0,5403.0,0.87,Single,4775000,2290 Kedge Anchor Rd ,BC,West Coast
2.0,2.0,,0.73,Single,1275000,606 JORGENSEN ROAD ,BC,West Coast
6.0,6.0,4010.0,0.15,Single,5980000,3741 W 37TH AVENUE ,BC,West Coast
4.0,2.0,,0.21,Single,789000,702 LATIMER STREET ,BC,West Coast
5.0,3.0,3187.0,0.48,Single,1499900,"1527 MacLeay Court, ",BC,West Coast
2.0,1.0,727.0,88.5,Single,399900,"DL 10026 Needles Road, N ",BC,West Coast
2.0,1.0,1702.0,0.17,Single,159900,48200 COTTONWOOD ROAD ,BC,West Coast
4.0,2.0,1768.0,0.64,Single,999000,"950 Lundell Road, ",BC,West Coast
2.0,1.0,930.0,8.43,Single,1999000,"7252-7298 Pleasant Valley Road, ",BC,West Coast
2.0,2.0,,.126,Single,259000,712 7TH AVENUE ,BC,West Coast
6.0,2.0,2216.0,.277,Single,599900,2310 20th St ,BC,West Coast
1.0,1.0,450.0,,Single,89000,6263 LUND STREET 20,BC,West Coast
4.0,3.0,1760.0,0.16,Single,1700000,612 Pfeiffer Cres ,BC,West Coast
4.0,2.0,2320.0,2.77,Single,3000000,25126 56 AVENUE ,BC,West Coast
3.0,3.0,,9.01,Single,1100000,1522 AIRPORT ROAD ,BC,West Coast
4.0,3.0,4185.0,6.87,Single,2950000,2566 Hastings Rd ,BC,West Coast
4.0,3.0,2752.0,0.14,Single,2480000,2481 WILDING WAY ,BC,West Coast
3.0,2.0,1636.0,0.45,Single,649900,"4119 Galligan Road, 25",BC,West Coast
4.0,2.0,,0.22,Single,999000,2565 COLUMBIA AVENUE ,BC,West Coast
2.0,2.0,1980.0,3.17,Single,1550000,24 HIGHWAY 7442,BC,West Coast
4.0,3.0,2468.0,3.41,Single,1100000,2880 Bellshill Rd ,BC,West Coast
3.0,1.0,1420.0,>175,Single,575000,8995 LOOS ROAD ,BC,West Coast
5.0,8.0,6802.0,.293,Single,5999000,1507 PINECREST DRIVE ,BC,West Coast
5.0,10.0,14956.0,.016,Single,8999999,"133 Ravine Drive, ",BC,West Coast
5.0,2.0,1994.0,.161,Single,198000,"264 MURRAY Drive, ",BC,West Coast
3.0,1.0,1968.0,3.31,Residential,899000,6446 Rimer Road ,BC,West Coast
